text,ariza_tipi,oncelik
"trafo üzerinde pas ve korozyon var, acil müdahale gerekiyor",trafo_arizasi,acil
"kablo kanalı açılmış, tel dışarıda kalmış, uzun süredir bu şekilde",kablo_kopmasi,dusuk
"acil durum: kablo kanalı açılmış, tel dışarıda kalmış",kablo_kopmasi,acil
"direk rüzgarda ciddi şekilde sallanıyor, acil müdahale gerekiyor",direk_hasari,acil
"sayaç kutusu içi nem almış, vatandaşlar şikayet ediyor",sayac_arizasi,normal
"sayaç ekranı çalışmıyor, hemen kontrol edilmeli",sayac_arizasi,acil
sayaç camı kırılmış,sayac_arizasi,normal
"hat kopuk, kıvılcım saçıyor, acil müdahale gerekiyor",kablo_kopmasi,acil
"sayaç yanlış tüketim gösteriyor, hemen kontrol edilmeli",sayac_arizasi,acil
"dikkat: hat koptu, bölgede elektrik yok",kablo_kopmasi,normal
dikkat: direk tepesindeki bağlantı gevşemiş,direk_hasari,normal
"kablo direkten ayrılmış, sarkıyor",kablo_kopmasi,normal
"sayaç camı kırılmış, durum tehlikeli görünüyor",sayac_arizasi,acil
sayaç ekranı çalışmıyor,sayac_arizasi,normal
"sayaç mühürü kırılmış, hafif bir arıza olabilir",sayac_arizasi,dusuk
"acil durum: hat koptu, bölgede elektrik yok",kablo_kopmasi,acil
hat ağaç dalına takılıp kopmuş,kablo_kopmasi,normal
"trafo kapağı açılmış, içerisi görünüyor, lütfen ekip gönderin",trafo_arizasi,normal
"direk üzerindeki kablo askısı kopmuş, küçük çaplı bir sorun gibi duruyor",direk_hasari,dusuk
dikkat: sayaç kutusu hasarlı,sayac_arizasi,normal
"trafo yağı sızıntısı var, vatandaşlar şikayet ediyor",trafo_arizasi,normal
"direk beton kaide kısmı parçalanmış, acil müdahale gerekiyor",direk_hasari,acil
dikkat: kablo bağlantı kutusu hasar görmüş,kablo_kopmasi,normal
"sayaç bağlantısı gevşemiş, durum tehlikeli görünüyor",sayac_arizasi,acil
"yüksek gerilim hattı kopmuş, çevre tehlikeli, küçük çaplı bir sorun gibi duruyor",kablo_kopmasi,acil
"sayaç ekranında hatalı rakamlar var, hemen kontrol edilmeli",sayac_arizasi,acil
"iletken tel kopmuş sarkıyor, hemen kontrol edilmeli",kablo_kopmasi,acil
"trafo ses çıkarıyor, uğultu var, vatandaşlar şikayet ediyor",trafo_arizasi,normal
"trafo sigortası sürekli atıyor, hemen kontrol edilmeli",trafo_arizasi,acil
"direk üzerindeki kablo askısı kopmuş, hemen kontrol edilmeli",direk_hasari,acil
"trafo aşırı yük altında çalışıyor, acil müdahale gerekiyor",trafo_arizasi,acil
uzun süredir devam eden bir sorun: direk gövdesinde derin çatlaklar var,direk_hasari,dusuk
"trafo soğutma sıvısı azalmış, hafif bir arıza olabilir",trafo_arizasi,dusuk
"direk aracın çarpmasıyla eğrildi, vatandaşlar şikayet ediyor",direk_hasari,normal
direk dibindeki toprak çökmüş,direk_hasari,normal
"direk üzerindeki kablo askısı kopmuş, lütfen ekip gönderin",direk_hasari,normal
"sayaç ekranında hatalı rakamlar var, lütfen ekip gönderin",sayac_arizasi,normal
"sayaç kutusu hasarlı, acil müdahale gerekiyor",sayac_arizasi,acil
"trafo etrafında elektrik kokusu var, lütfen ekip gönderin",trafo_arizasi,normal
"uzun süredir devam eden bir sorun: direk eğilmiş, devrilme riski var",direk_hasari,acil
"trafo üzerinde pas ve korozyon var, durum tehlikeli görünüyor",trafo_arizasi,acil
"direk temelinde çatlak oluşmuş, uzun süredir bu şekilde",direk_hasari,dusuk
"acil durum: direk paslanmış, zayıflamış görünüyor",direk_hasari,acil
acil durum: trafo kutusu su almış,trafo_arizasi,acil
