equipment_id,mean_consumption,std_consumption,last_3_month_avg,first_9_month_avg,drop_ratio,max_month_to_month_change,zero_months_count,is_anomaly_true,anomaly_type
15,325.48,38.83,325.15,325.59,0.0013,74.34,0,False,normal
16,1.53,0.98,0.66,1.82,0.6356,2.29,12,True,sifira_yakin
17,327.82,38.7,328.5,327.6,-0.0028,63.67,0,False,normal
18,369.65,44.46,343.05,378.52,0.0937,59.4,0,False,normal
19,291.93,26.24,283.8,294.63,0.0368,58.65,0,False,normal
20,186.07,21.09,185.87,186.14,0.0014,30.09,0,False,normal
21,172.93,18.07,167.53,174.74,0.0413,33.51,0,False,normal
22,224.93,27.5,215.75,227.99,0.0537,44.11,0,False,normal
23,386.22,42.92,389.26,385.2,-0.0105,104.25,0,False,normal
24,150.01,21.2,142.79,152.42,0.0632,41.53,0,False,normal
25,131.59,23.62,126.06,133.44,0.0553,35.38,0,False,normal
26,253.08,20.31,249.92,254.13,0.0166,36.71,0,False,normal
27,160.05,65.34,53.12,195.7,0.7285,113.66,0,True,ani_dusus
28,362.7,122.77,163.31,429.16,0.6195,226.15,0,True,ani_dusus
29,197.8,20.5,191.23,200.0,0.0438,36.39,0,False,normal
30,186.91,17.79,180.81,188.94,0.043,40.56,0,False,normal
31,216.84,24.32,219.26,216.03,-0.0149,40.44,0,False,normal
32,288.86,40.84,281.61,291.28,0.0332,70.6,0,False,normal
33,235.37,24.94,223.13,239.44,0.0681,55.07,0,False,normal
